Date,Open,High,Low,Close,Adj Close,Volume
2021-10-08,18.910000,18.910000,18.910000,18.910000,17.519749,0
2021-10-11,18.780001,18.780001,18.780001,18.780001,17.399309,0
2021-10-12,18.670000,18.670000,18.670000,18.670000,17.297394,0
2021-10-13,18.680000,18.680000,18.680000,18.680000,17.306660,0
2021-10-14,18.980000,18.980000,18.980000,18.980000,17.584602,0
2021-10-15,19.219999,19.219999,19.219999,19.219999,17.806955,0
2021-10-18,19.200001,19.200001,19.200001,19.200001,17.788427,0
2021-10-19,19.360001,19.360001,19.360001,19.360001,17.936665,0
2021-10-20,19.430000,19.430000,19.430000,19.430000,18.001518,0
2021-10-21,19.360001,19.360001,19.360001,19.360001,17.936665,0
2021-10-22,19.379999,19.379999,19.379999,19.379999,17.955193,0
2021-10-25,19.440001,19.440001,19.440001,19.440001,18.010784,0
2021-10-26,19.540001,19.540001,19.540001,19.540001,18.103434,0
2021-10-27,19.330000,19.330000,19.330000,19.330000,17.908869,0
2021-10-28,19.520000,19.520000,19.520000,19.520000,18.084900,0
2021-10-29,19.480000,19.480000,19.480000,19.480000,18.047842,0
2021-11-01,19.570000,19.570000,19.570000,19.570000,18.131224,0
2021-11-02,19.610001,19.610001,19.610001,19.610001,18.168285,0
2021-11-03,19.680000,19.680000,19.680000,19.680000,18.233137,0
2021-11-04,19.660000,19.660000,19.660000,19.660000,18.214607,0
2021-11-05,19.840000,19.840000,19.840000,19.840000,18.381376,0
2021-11-08,19.930000,19.930000,19.930000,19.930000,18.464758,0
2021-11-09,19.920000,19.920000,19.920000,19.920000,18.455494,0
2021-11-10,19.730000,19.730000,19.730000,19.730000,18.279461,0
2021-11-11,19.719999,19.719999,19.719999,19.719999,18.270197,0
2021-11-12,19.799999,19.799999,19.799999,19.799999,18.344315,0
2021-11-15,19.760000,19.760000,19.760000,19.760000,18.307255,0
2021-11-16,19.730000,19.730000,19.730000,19.730000,18.279461,0
2021-11-17,19.629999,19.629999,19.629999,19.629999,18.186811,0
2021-11-18,19.620001,19.620001,19.620001,19.620001,18.177549,0
2021-11-19,19.389999,19.389999,19.389999,19.389999,17.964457,0
2021-11-22,19.420000,19.420000,19.420000,19.420000,17.992252,0
2021-11-23,19.570000,19.570000,19.570000,19.570000,18.131224,0
2021-11-24,19.600000,19.600000,19.600000,19.600000,18.159018,0
2021-11-26,18.959999,18.959999,18.959999,18.959999,17.566072,0
2021-11-29,19.129999,19.129999,19.129999,19.129999,17.723574,0
2021-11-30,18.760000,18.760000,18.760000,18.760000,17.380779,0
2021-12-01,18.600000,18.600000,18.600000,18.600000,17.232542,0
2021-12-02,18.950001,18.950001,18.950001,18.950001,17.556808,0
2021-12-03,18.750000,18.750000,18.750000,18.750000,17.371513,0
2021-12-06,19.090000,19.090000,19.090000,19.090000,17.686516,0
2021-12-07,19.459999,19.459999,19.459999,19.459999,18.029312,0
2021-12-08,19.500000,19.500000,19.500000,19.500000,18.066370,0
2021-12-09,19.430000,19.430000,19.430000,19.430000,18.001518,0
2021-12-10,19.309999,19.309999,19.309999,19.309999,18.118807,0
2021-12-13,19.020000,19.020000,19.020000,19.020000,17.846699,0
2021-12-14,18.940001,18.940001,18.940001,18.940001,17.771633,0
2021-12-15,19.080000,19.080000,19.080000,19.080000,17.902994,0
2021-12-16,19.059999,19.059999,19.059999,19.059999,17.884228,0
2021-12-17,18.809999,18.809999,18.809999,18.809999,17.649651,0
2021-12-20,18.580000,18.580000,18.580000,18.580000,17.433842,0
2021-12-21,19.000000,19.000000,19.000000,19.000000,17.827930,0
2021-12-22,19.160000,19.160000,19.160000,19.160000,17.978060,0
2021-12-23,19.280001,19.280001,19.280001,19.280001,18.090660,0
2021-12-27,19.510000,19.510000,19.510000,19.510000,18.306469,0
2021-12-28,19.500000,19.500000,19.500000,19.500000,18.297085,0
2021-12-29,19.490000,19.490000,19.490000,19.490000,18.287703,0
2021-12-30,19.430000,19.430000,19.430000,19.430000,18.231405,0
2021-12-31,19.379999,19.379999,19.379999,19.379999,18.184488,0
2022-01-03,19.670000,19.670000,19.670000,19.670000,18.456600,0
2022-01-04,19.930000,19.930000,19.930000,19.930000,18.700560,0
2022-01-05,19.680000,19.680000,19.680000,19.680000,18.465982,0
2022-01-06,19.760000,19.760000,19.760000,19.760000,18.541046,0
2022-01-07,19.860001,19.860001,19.860001,19.860001,18.634878,0
2022-01-10,19.809999,19.809999,19.809999,19.809999,18.587963,0
2022-01-11,20.080000,20.080000,20.080000,20.080000,18.841307,0
2022-01-12,20.180000,20.180000,20.180000,20.180000,18.935139,0
2022-01-13,20.030001,20.030001,20.030001,20.030001,18.794392,0
2022-01-14,20.120001,20.120001,20.120001,20.120001,18.878839,0
2022-01-18,19.820000,19.820000,19.820000,19.820000,18.597347,0
2022-01-19,19.600000,19.600000,19.600000,19.600000,18.390917,0
2022-01-20,19.400000,19.400000,19.400000,19.400000,18.203257,0
2022-01-21,19.049999,19.049999,19.049999,19.049999,17.874846,0
2022-01-24,19.020000,19.020000,19.020000,19.020000,17.846699,0
2022-01-25,18.889999,18.889999,18.889999,18.889999,17.724716,0
2022-01-26,18.879999,18.879999,18.879999,18.879999,17.715332,0
2022-01-27,18.840000,18.840000,18.840000,18.840000,17.677801,0
2022-01-28,19.180000,19.180000,19.180000,19.180000,17.996828,0
2022-01-31,19.440001,19.440001,19.440001,19.440001,18.240789,0
2022-02-01,19.809999,19.809999,19.809999,19.809999,18.587963,0
2022-02-02,19.980000,19.980000,19.980000,19.980000,18.747477,0
2022-02-03,19.610001,19.610001,19.610001,19.610001,18.400303,0
2022-02-04,19.750000,19.750000,19.750000,19.750000,18.531664,0
2022-02-07,19.760000,19.760000,19.760000,19.760000,18.541046,0
2022-02-08,19.889999,19.889999,19.889999,19.889999,18.663027,0
2022-02-09,20.090000,20.090000,20.090000,20.090000,18.850691,0
2022-02-10,19.870001,19.870001,19.870001,19.870001,18.644264,0
2022-02-11,19.580000,19.580000,19.580000,19.580000,18.372152,0
2022-02-14,19.490000,19.490000,19.490000,19.490000,18.287703,0
2022-02-15,19.790001,19.790001,19.790001,19.790001,18.569199,0
2022-02-16,19.820000,19.820000,19.820000,19.820000,18.597347,0
2022-02-17,19.410000,19.410000,19.410000,19.410000,18.212639,0
2022-02-18,19.190001,19.190001,19.190001,19.190001,18.006210,0
2022-02-22,19.059999,19.059999,19.059999,19.059999,17.884228,0
2022-02-23,18.809999,18.809999,18.809999,18.809999,17.649651,0
2022-02-24,18.889999,18.889999,18.889999,18.889999,17.724716,0
2022-02-25,19.340000,19.340000,19.340000,19.340000,18.146955,0
2022-02-28,19.270000,19.270000,19.270000,19.270000,18.081278,0
2022-03-01,18.900000,18.900000,18.900000,18.900000,17.734098,0
2022-03-02,19.240000,19.240000,19.240000,19.240000,18.053123,0
2022-03-03,19.090000,19.090000,19.090000,19.090000,17.912378,0
2022-03-04,18.809999,18.809999,18.809999,18.809999,17.649651,0
2022-03-07,18.219999,18.219999,18.219999,18.219999,17.096046,0
2022-03-08,18.240000,18.240000,18.240000,18.240000,17.114815,0
2022-03-09,18.719999,18.719999,18.719999,18.719999,17.565203,0
2022-03-10,18.660000,18.660000,18.660000,18.660000,17.508904,0
2022-03-11,18.490000,18.490000,18.490000,18.490000,17.349390,0
2022-03-14,18.379999,18.379999,18.379999,18.379999,17.246176,0
2022-03-15,18.570000,18.570000,18.570000,18.570000,17.424456,0
2022-03-16,19.020000,19.020000,19.020000,19.020000,17.846699,0
2022-03-17,19.250000,19.250000,19.250000,19.250000,18.062508,0
2022-03-18,19.360001,19.360001,19.360001,19.360001,18.165724,0
2022-03-21,19.389999,19.389999,19.389999,19.389999,18.193871,0
2022-03-22,19.620001,19.620001,19.620001,19.620001,18.409685,0
2022-03-23,19.400000,19.400000,19.400000,19.400000,18.203257,0
